Activity ID,Activity Date,Activity Name,Activity Type,Activity Description,Elapsed Time,Distance,Max Heart Rate,Relative Effort,Commute,Activity Private Note,Activity Gear,Filename,Athlete Weight,Bike Weight,Elapsed Time,Moving Time,Distance,Max Speed,Average Speed,Elevation Gain,Elevation Loss,Elevation Low,Elevation High,Max Grade,Average Grade,Average Positive Grade,Average Negative Grade,Max Cadence,Average Cadence,Max Heart Rate,Average Heart Rate,Max Watts,Average Watts,Calories,Max Temperature,Average Temperature,Relative Effort,Total Work,Number of Runs,Uphill Time,Downhill Time,Other Time,Perceived Exertion,"<span class=""translation_missing"" title=""translation missing: en-US.lib.export.portability_exporter.activities.horton_values.type"">Type</span>","<span class=""translation_missing"" title=""translation missing: en-US.lib.export.portability_exporter.activities.horton_values.start_time"">Start Time</span>",Weighted Average Power,Power Count,Prefer Perceived Exertion,Perceived Relative Effort,Commute,Total Weight Lifted,From Upload,Grade Adjusted Distance,Weather Observation Time,Weather Condition,Weather Temperature,Apparent Temperature,Dewpoint,Humidity,Weather Pressure,Wind Speed,Wind Gust,Wind Bearing,Precipitation Intensity,Sunrise Time,Sunset Time,Moon Phase,Bike,Gear,Precipitation Probability,Precipitation Type,Cloud Cover,Weather Visibility,UV Index,Weather Ozone,"<span class=""translation_missing"" title=""translation missing: en-US.lib.export.portability_exporter.activities.horton_values.jump_count"">Jump Count</span>","<span class=""translation_missing"" title=""translation missing: en-US.lib.export.portability_exporter.activities.horton_values.total_grit"">Total Grit</span>","<span class=""translation_missing"" title=""translation missing: en-US.lib.export.portability_exporter.activities.horton_values.avg_flow"">Avg Flow</span>","<span class=""translation_missing"" title=""translation missing: en-US.lib.export.portability_exporter.activities.horton_values.flagged"">Flagged</span>","<span class=""translation_missing"" title=""translation missing: en-US.lib.export.portability_exporter.activities.horton_values.avg_elapsed_speed"">Avg Elapsed Speed</span>","<span class=""translation_missing"" title=""translation missing: en-US.lib.export.portability_exporter.activities.horton_values.dirt_distance"">Dirt Distance</span>","<span class=""translation_missing"" title=""translation missing: en-US.lib.export.portability_exporter.activities.horton_values.newly_explored_distance"">Newly Explored Distance</span>","<span class=""translation_missing"" title=""translation missing: en-US.lib.export.portability_exporter.activities.horton_values.newly_explored_dirt_distance"">Newly Explored Dirt Distance</span>","<span class=""translation_missing"" title=""translation missing: en-US.lib.export.portability_exporter.activities.horton_values.sport_type"">Sport Type</span>","<span class=""translation_missing"" title=""translation missing: en-US.lib.export.portability_exporter.activities.horton_values.total_steps"">Total Steps</span>",Media
750951337,"Oct 20, 2016, 9:12:42 PM",Night Run,Run,,3471,3.42,,,false,,,activities/750951337.gpx,75.0,,3471.0,1033.0,3421.199951171875,8.0,,0.0,,8.0,12.800000190734863,3.0999999046325684,-0.03215250000357628,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,""
800067724,"Dec 11, 2016, 10:03:49 PM",Night Run,Run,,2610,4.60,,,false,,,activities/800067724.gpx,75.0,,2610.0,1613.0,4604.7998046875,10.0,,0.0,,7.599999904632568,13.0,5.800000190734863,-0.015201499685645103,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,""
816161097,"Dec 30, 2016, 10:18:05 PM",Night Run,Run,,2253,3.53,,,false,,,activities/816161097.gpx,75.0,,2253.0,892.0,3530.60009765625,7.900000095367432,,0.0,,9.0,13.0,9.399999618530273,0.005664759781211615,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,""
818086250,"Jan 1, 2017, 9:29:40 PM",Night Run,Run,,603,1.34,,,false,,,activities/818086250.gpx,75.0,,603.0,401.0,1341.300048828125,6.599999904632568,,0.0,,9.0,12.300000190734863,5.5,0.03727729991078377,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,""
833431344,"Jan 15, 2017, 10:48:14 PM",Night Run,Run,,1820,3.06,,,false,,,activities/833431344.gpx,75.0,,1820.0,1818.0,3065.800048828125,7.0,,0.0,,9.0,13.0,3.799999952316284,-0.006523579824715853,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,""
857664726,"Feb 6, 2017, 9:58:36 PM",Night Run,Run,,1483,3.20,,,false,,,activities/857664726.gpx,75.0,,1483.0,1058.0,3203.699951171875,6.099999904632568,,0.0,,7.0,13.0,5.400000095367432,0.024971099570393562,,,,,,,,,296.422119140625,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,""
908056230,"Mar 20, 2017, 9:59:10 PM",Night Run,Run,,487,1.22,,,false,,,activities/908056230.gpx,75.0,,487.0,360.0,1227.4000244140625,7.400000095367432,,0.0,,9.0,13.0,3.5999999046325684,0.04888379946351051,,,,,,,,,113.530029296875,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,""
925724445,"Apr 2, 2017, 9:06:43 PM",Night Run,Run,,1918,4.01,,,false,,,activities/925724445.gpx,75.0,,1918.0,1465.0,4012.199951171875,7.400000095367432,,0.0,,9.0,15.300000190734863,5.099999904632568,0.0,,,,,,,,,370.5668029785156,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,""
943545849,"Apr 9, 2017, 8:14:25 PM",Night Run,Run,,506097,2.10,,,false,,,activities/943545849.gpx,75.0,,506097.0,506086.0,2106.5,7.099999904632568,,0.0,,9.0,14.600000381469727,3.5,0.2658439874649048,,,,,,,,,196.46592712402344,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,""
943603279,"Apr 15, 2017, 4:49:33 PM",Afternoon Ride,Ride,,2093,4.50,,,false,,,activities/943603279.gpx,75.0,,2093.0,2089.0,4504.2998046875,7.800000190734863,,0.0,,9.0,18.700000762939453,17.700000762939453,-0.11766500025987625,,,,,,,,42.608001708984375,99.2440414428711,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,""
1128738098,"Aug 11, 2017, 9:05:17 PM",Night Run,Run,,1045,1.96,,,false,,,activities/1128738098.gpx,75.0,,1045.0,663.0,1964.199951171875,9.600000381469727,,3.6115400791168213,,9.0,13.0,3.799999952316284,0.05600240081548691,,,,,,,,,181.87843322753906,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,""
1162030605,"Aug 31, 2017, 8:48:51 PM",Night Run,Run,,958,2.07,,,false,,,activities/1162030605.gpx,75.0,,958.0,944.0,2076.39990234375,7.099999904632568,,5.050000190734863,,10.0,13.0,4.0,0.009632060304284096,,,,,,,,,191.63722229003906,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,""
1178212874,"Sep 10, 2017, 8:04:45 PM",Night Run,Run,,2374,4.88,,,false,,,activities/1178212874.gpx,75.0,,2374.0,1653.0,4881.0,9.199999809265137,,15.774900436401367,,7.0,13.0,5.5,0.0020487599540501833,,,,,,,,,450.94091796875,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,""
1182776659,"Sep 13, 2017, 10:06:56 PM",Night Run,Run,,237,0.59,,,false,,,activities/1182776659.gpx,75.0,,237.0,224.0,597.7999877929688,4.800000190734863,,0.0,,8.100000381469727,11.0,6.199999809265137,-0.18400800228118896,,,,,,,,,55.16158676147461,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,""
1209200295,"Sep 30, 2017, 7:20:46 PM",Evening Run,Run,,1198,2.72,,,false,,,activities/1209200295.gpx,75.0,,1198.0,859.0,2726.5,7.5,,5.641540050506592,,7.199999809265137,13.0,4.099999904632568,0.003667710116133094,,,,,,,,,251.6828155517578,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,""
